FIPS Code,State/Area,Year,Month,Civial Population,Total Labor Force,Total Labor Force percent of Pop,Total Employeed Labor force,Total Employed Labor Force Percent,Total Unemployeed Labor Force,Unemployment Rate of Labor Force
01,Alabama,2008,01,"3,577,198   ","2,170,233   ",60.7   ,"2,065,583   ",57.7   ,"104,650   ",4.8   
02,Alaska,2008,01,"498,693   ","349,267   ",70.0   ,"323,512   ",64.9   ,"25,755   ",7.4   
04,Arizona,2008,01,"4,822,624   ","3,061,807   ",63.5   ,"2,918,237   ",60.5   ,"143,570   ",4.7   
05,Arkansas,2008,01,"2,177,814   ","1,350,256   ",62.0   ,"1,272,869   ",58.4   ,"77,387   ",5.7   
06,California,2008,01,"27,453,421   ","18,002,805   ",65.6   ,"16,844,050   ",61.4   ,"1,158,755   ",6.4   
037,Los Angeles County,2008,01,"7,429,053   ","4,887,021   ",65.8   ,"4,579,167   ",61.6   ,"307,854   ",6.3   
08,Colorado,2008,01,"3,733,587   ","2,690,625   ",72.1   ,"2,565,998   ",68.7   ,"124,627   ",4.6   
09,Connecticut,2008,01,"2,718,370   ","1,859,684   ",68.4   ,"1,759,063   ",64.7   ,"100,621   ",5.4   
10,Delaware,2008,01,"673,835   ","445,940   ",66.2   ,"426,188   ",63.2   ,"19,752   ",4.4   
11,District of Columbia,2008,01,"475,485   ","325,280   ",68.4   ,"305,487   ",64.2   ,"19,793   ",6.1   
12,Florida,2008,01,"14,421,176   ","9,147,940   ",63.4   ,"8,695,061   ",60.3   ,"452,879   ",5.0   
13,Georgia,2008,01,"7,145,219   ","4,883,805   ",68.4   ,"4,626,387   ",64.7   ,"257,418   ",5.3   
15,Hawaii,2008,01,"972,401   ","638,789   ",65.7   ,"618,361   ",63.6   ,"20,428   ",3.2   
16,Idaho,2008,01,"1,125,010   ","740,220   ",65.8   ,"709,563   ",63.1   ,"30,657   ",4.1   
17,Illinois,2008,01,"9,782,110   ","6,674,782   ",68.2   ,"6,271,190   ",64.1   ,"403,592   ",6.0   
18,Indiana,2008,01,"4,858,075   ","3,196,979   ",65.8   ,"3,028,691   ",62.3   ,"168,288   ",5.3   
19,Iowa,2008,01,"2,313,758   ","1,660,673   ",71.8   ,"1,585,653   ",68.5   ,"75,020   ",4.5   
20,Kansas,2008,01,"2,104,656   ","1,481,593   ",70.4   ,"1,413,838   ",67.2   ,"67,755   ",4.6   
21,Kentucky,2008,01,"3,293,294   ","2,004,296   ",60.9   ,"1,885,411   ",57.3   ,"118,885   ",5.9   
22,Louisiana,2008,01,"3,328,228   ","2,036,397   ",61.2   ,"1,937,689   ",58.2   ,"98,708   ",4.8   
23,Maine,2008,01,"1,060,238   ","693,861   ",65.4   ,"654,585   ",61.7   ,"39,276   ",5.7   
24,Maryland,2008,01,"4,342,905   ","2,960,332   ",68.2   ,"2,853,309   ",65.7   ,"107,023   ",3.6   
25,Massachusetts,2008,01,"5,161,571   ","3,412,797   ",66.1   ,"3,228,297   ",62.5   ,"184,500   ",5.4   
26,Michigan,2008,01,"7,775,722   ","4,925,364   ",63.3   ,"4,548,280   ",58.5   ,"377,084   ",7.7   
27,Minnesota,2008,01,"4,034,155   ","2,889,445   ",71.6   ,"2,729,744   ",67.7   ,"159,701   ",5.5   
28,Mississippi,2008,01,"2,180,462   ","1,313,585   ",60.2   ,"1,228,619   ",56.3   ,"84,966   ",6.5   
29,Missouri,2008,01,"4,557,530   ","3,006,586   ",66.0   ,"2,831,436   ",62.1   ,"175,150   ",5.8   
30,Montana,2008,01,"755,967   ","501,924   ",66.4   ,"475,780   ",62.9   ,"26,144   ",5.2   
31,Nebraska,2008,01,"1,347,708   ","976,755   ",72.5   ,"942,222   ",69.9   ,"34,533   ",3.5   
32,Nevada,2008,01,"1,961,491   ","1,350,690   ",68.9   ,"1,274,968   ",65.0   ,"75,722   ",5.6   
33,New Hampshire,2008,01,"1,047,818   ","739,736   ",70.6   ,"709,455   ",67.7   ,"30,281   ",4.1   
34,New Jersey,2008,01,"6,705,664   ","4,460,808   ",66.5   ,"4,232,153   ",63.1   ,"228,655   ",5.1   
35,New Mexico,2008,01,"1,492,337   ","933,086   ",62.5   ,"895,148   ",60.0   ,"37,938   ",4.1   
36,New York,2008,01,"15,239,027   ","9,577,889   ",62.9   ,"9,052,450   ",59.4   ,"525,439   ",5.5   
51000,New York city,2008,01,"6,553,581   ","3,904,715   ",59.6   ,"3,685,678   ",56.2   ,"219,037   ",5.6   
37,North Carolina,2008,01,"6,956,036   ","4,504,516   ",64.8   ,"4,265,206   ",61.3   ,"239,310   ",5.3   
38,North Dakota,2008,01,"497,394   ","364,030   ",73.2   ,"350,332   ",70.4   ,"13,698   ",3.8   
39,Ohio,2008,01,"8,918,397   ","5,920,318   ",66.4   ,"5,552,569   ",62.3   ,"367,749   ",6.2   
40,Oklahoma,2008,01,"2,731,019   ","1,714,716   ",62.8   ,"1,649,761   ",60.4   ,"64,955   ",3.8   
41,Oregon,2008,01,"2,951,299   ","1,926,216   ",65.3   ,"1,809,923   ",61.3   ,"116,293   ",6.0   
