state,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,avg
AK,78135.0,76682.0,72759.0,74084.0,72426.0,76138.0,74192.0,75899.0,78084.0,73181.0,68734.0,68400.0,85195.25,74916.09615384616
AL,48696.0,46372.0,45603.0,45237.0,44469.0,45163.0,44391.0,46317.0,47252.0,48123.0,49936.0,49396.0,63108.25,48004.86538461538
AR,44300.0,43319.0,43161.0,42335.0,42905.0,42699.0,42766.0,43451.0,45288.0,45869.0,49781.0,49778.0,56358.75,45539.28846153846
AZ,58160.0,55828.0,52718.0,51019.0,51156.0,51130.0,51893.0,53278.0,54710.0,56581.0,62283.0,62311.0,67940.5,56077.5
CA,69645.0,67494.0,65020.0,62573.0,62389.0,63441.0,64191.0,66737.0,69196.0,71805.0,70489.0,70001.0,80830.75,67985.51923076923
CO,65047.0,63484.0,60894.0,60498.0,60717.0,62000.0,63538.0,66125.0,67098.0,69117.0,73034.0,72620.0,84748.5,66840.03846153847
CT,78289.0,76775.0,72146.0,71821.0,71960.0,70722.0,72602.0,73820.0,75013.0,74168.0,72812.0,73011.0,93963.25,75161.71153846153
DE,66184.0,65122.0,62924.0,64241.0,62482.0,60970.0,61893.0,63379.0,63085.0,62852.0,65012.0,65002.0,77454.5,64661.57692307692
FL,54530.0,51237.0,50036.0,48387.0,48176.0,48522.0,49193.0,51140.0,51954.0,52594.0,54644.0,54401.0,65267.0,52313.92307692308
GA,58049.0,54505.0,52313.0,50253.0,50496.0,50412.0,51119.0,53021.0,54711.0,56183.0,55821.0,56000.0,67818.75,54669.36538461538
HI,76713.0,73412.0,71017.0,67526.0,70872.0,71693.0,72129.0,76035.0,76114.0,77765.0,80108.0,80000.0,88054.25,75495.25
IA,55902.0,55025.0,54038.0,53988.0,54505.0,55050.0,55670.0,56634.0,57457.0,58570.0,68178.0,68844.0,72490.75,58950.13461538462
ID,54300.0,51454.0,49001.0,47341.0,48656.0,49310.0,49606.0,49949.0,52921.0,52225.0,58728.0,58729.0,63690.25,52762.32692307692
IL,64182.0,61808.0,59684.0,58146.0,58976.0,59246.0,59538.0,61655.0,62271.0,62992.0,70145.0,70000.0,77177.25,63524.63461538462
IN,54745.0,52024.0,50266.0,50723.0,50245.0,50096.0,51248.0,52284.0,53439.0,54181.0,59892.0,59690.0,67020.0,54296.38461538462
KS,57268.0,54765.0,54372.0,53482.0,53739.0,53725.0,54418.0,55775.0,56117.0,56422.0,63938.0,63726.0,69929.25,57513.557692307695
KY,47408.0,45895.0,45138.0,44938.0,44629.0,45743.0,44524.0,46783.0,47663.0,48375.0,54555.0,54616.0,60822.25,48545.32692307692
LA,49914.0,48666.0,47891.0,45585.0,45934.0,46549.0,46179.0,47313.0,46117.0,46145.0,49973.0,49665.0,60495.25,48494.32692307692
MA,74644.0,73392.0,69937.0,68660.0,69888.0,70374.0,71681.0,73077.0,76917.0,77385.0,86345.0,86651.0,96696.0,76588.23076923077
MD,80515.0,79338.0,77579.0,76464.0,76074.0,76397.0,76668.0,78477.0,80643.0,80776.0,80776.0,86051.0,97180.75,80533.75
ME,53164.0,52380.0,51620.0,50281.0,49961.0,49511.0,51265.0,53280.0,54221.0,56277.0,58663.0,58001.0,71291.75,54608.903846153844
MI,55458.0,51831.0,51168.0,50224.0,50122.0,50880.0,51664.0,52856.0,53621.0,54909.0,60449.0,60002.0,71065.0,54942.230769230766
MN,65384.0,63697.0,62486.0,62210.0,63007.0,63980.0,63722.0,65690.0,67010.0,68388.0,71817.0,72070.0,85386.5,67295.96153846153
MO,53490.0,51801.0,49915.0,49422.0,48476.0,49466.0,50126.0,51980.0,52859.0,53578.0,61726.0,61110.0,67917.0,53989.692307692305
MS,43131.0,41971.0,41521.0,40326.0,39678.0,40013.0,41126.0,42001.0,42652.0,43529.0,42781.0,43000.0,54640.25,42797.63461538462
MT,49823.0,48472.0,48072.0,48303.0,48214.0,49509.0,48017.0,51226.0,51103.0,53386.0,57679.0,58000.0,68192.0,52307.38461538462
NC,53127.0,50020.0,48816.0,47969.0,48294.0,48385.0,48253.0,49489.0,51672.0,52752.0,53369.0,52943.0,65682.25,51597.78846153846
ND,52141.0,54777.0,54837.0,56475.0,57316.0,58770.0,61181.0,62657.0,61961.0,61843.0,66505.0,66005.0,78909.0,61029.0
NE,56716.0,54238.0,54542.0,54937.0,54255.0,54218.0,54607.0,56903.0,58152.0,59970.0,67575.0,67653.0,71969.25,58902.71153846154
NH,72738.0,69368.0,68777.0,68428.0,67686.0,67699.0,68957.0,72741.0,72462.0,73381.0,81346.0,81000.0,91254.5,73525.96153846153
NJ,80324.0,78273.0,76257.0,73683.0,74517.0,73954.0,74541.0,74727.0,77764.0,80088.0,74176.0,74100.0,96114.75,77578.36538461539
NM,49657.0,49280.0,47423.0,45835.0,45521.0,46241.0,46436.0,46956.0,47754.0,46744.0,48283.0,48000.0,56513.5,48049.5
NV,64326.0,61092.0,57464.0,53442.0,53224.0,53997.0,53326.0,54249.0,56367.0,58003.0,61864.0,61900.0,67425.75,58206.13461538462
NY,63952.0,62601.0,61009.0,60344.0,60378.0,60467.0,61024.0,62960.0,64262.0,64894.0,67274.0,67105.0,79943.75,64324.13461538462
OH,54770.0,51991.0,50804.0,49971.0,50089.0,50678.0,51105.0,52846.0,53460.0,54021.0,61633.0,61398.0,70434.5,54861.57692307692
OK,48874.0,47718.0,47403.0,47214.0,47397.0,48158.0,49262.0,50252.0,50234.0,50051.0,54434.0,54005.0,61871.0,50528.692307692305
OR,57259.0,55498.0,52460.0,51136.0,52584.0,52965.0,52937.0,56026.0,58770.0,60212.0,69165.0,69358.0,75768.75,58779.903846153844
PA,57880.0,56716.0,55534.0,54863.0,54797.0,54816.0,55175.0,57634.0,58131.0,59195.0,64524.0,64305.0,75955.75,59194.28846153846
RI,63573.0,61983.0,58875.0,58586.0,58352.0,58921.0,56892.0,60087.0,61899.0,63870.0,62266.0,62341.0,80417.0,62158.61538461538
SC,50932.0,48609.0,47342.0,46277.0,46108.0,46548.0,46887.0,48876.0,50566.0,50570.0,57444.0,57090.0,63066.5,50793.5
SD,52537.0,51588.0,51721.0,52780.0,51729.0,51590.0,52837.0,54856.0,55639.0,56521.0,59463.0,59344.0,66568.75,55167.21153846154
TN,49778.0,47788.0,46715.0,45540.0,45741.0,46689.0,45978.0,48915.0,49591.0,51340.0,56060.0,55601.0,63491.5,50248.269230769234
TX,57115.0,55271.0,54775.0,53950.0,54273.0,54496.0,54968.0,57583.0,57782.0,59206.0,59785.0,59703.0,68265.0,57474.769230769234
UT,64637.0,63126.0,61681.0,61025.0,61021.0,62998.0,63143.0,65094.0,67396.0,68358.0,77067.0,76613.0,76102.0,66789.30769230769
VA,69887.0,67951.0,68362.0,67592.0,66040.0,66050.0,67268.0,68560.0,69579.0,71535.0,77151.0,76786.0,84820.5,70890.88461538461
VT,59468.0,59119.0,55666.0,57646.0,56665.0,55418.0,56141.0,58966.0,58918.0,57513.0,70066.0,69844.0,78275.0,61054.230769230766
WA,66286.0,64765.0,62680.0,62080.0,61581.0,61559.0,63603.0,66353.0,68550.0,70979.0,79726.0,79801.0,85405.25,68720.63461538461
WI,59456.0,57257.0,55210.0,55045.0,54614.0,54247.0,54540.0,57568.0,58033.0,59305.0,62629.0,62676.0,74843.5,58878.730769230766
WV,43358.0,42875.0,43061.0,42033.0,42995.0,43481.0,42556.0,43476.0,44318.0,43469.0,50573.0,50180.0,59334.5,45516.11538461538
WY,60726.0,60317.0,60293.0,61519.0,58723.0,61925.0,59135.0,62302.0,61170.0,60434.0,62629.0,62002.0,76746.25,62147.78846153846
