state,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,avg
AK,7.3,8.3,8.9,8.4,8.0,7.6,7.7,7.2,7.5,7.6,7.2,6.8,5.8,7.561538461538461
AL,4.7,10.4,11.5,9.9,7.9,7.1,7.3,5.9,5.9,4.9,4.0,3.4,3.3,6.630769230769232
AR,5.0,7.8,8.3,8.6,7.6,7.3,6.4,5.5,4.1,3.5,3.7,3.5,4.7,5.846153846153846
AZ,4.7,8.9,10.4,9.3,8.2,7.6,6.9,5.9,5.3,4.9,4.6,4.7,5.3,6.6692307692307695
CA,6.6,10.9,12.6,12.1,11.0,9.3,8.2,6.6,5.8,5.1,4.5,4.5,5.6,7.907692307692306
CO,4.6,7.1,9.1,8.9,8.5,7.5,6.0,4.5,3.7,2.8,3.2,3.1,4.8,5.676923076923075
CT,5.3,7.5,9.2,9.3,8.5,8.2,7.2,6.1,5.6,5.0,4.6,4.0,3.9,6.492307692307692
DE,4.2,8.2,9.0,7.9,7.3,7.3,6.2,5.1,4.6,4.7,4.1,3.7,5.0,5.946153846153846
FL,5.0,9.7,11.0,10.1,8.5,7.2,6.5,5.4,4.7,4.2,3.6,3.2,4.3,6.415384615384615
GA,5.2,9.4,10.4,10.0,9.3,8.2,7.3,6.0,5.3,4.8,4.0,3.6,4.3,6.753846153846153
HI,3.2,7.0,6.9,6.6,6.5,4.9,4.5,3.8,3.0,2.5,2.3,2.7,2.2,4.315384615384615
IA,4.2,7.0,6.9,6.1,5.5,5.3,4.8,4.2,3.9,3.5,3.1,3.2,3.8,4.730769230769231
ID,3.9,8.8,10.0,9.6,8.3,7.1,5.8,4.8,4.5,3.9,3.6,3.5,2.9,5.9
IL,5.7,9.8,11.5,9.5,9.0,9.2,8.2,6.0,6.3,4.9,4.4,4.4,4.4,7.176923076923079
IN,5.4,10.7,11.6,9.2,8.6,8.4,6.6,5.2,5.1,3.7,3.6,3.7,3.4,6.553846153846154
KS,4.4,6.5,7.5,6.9,6.1,5.6,4.9,4.4,4.1,3.7,3.5,3.4,3.1,4.93076923076923
KY,6.1,10.7,11.0,10.0,8.5,8.4,7.8,5.8,5.6,5.5,4.7,4.7,5.7,7.269230769230769
LA,4.2,6.2,7.3,7.8,7.2,6.8,5.7,6.3,6.0,5.2,4.5,4.1,6.1,5.953846153846153
MA,5.0,7.8,8.9,7.7,6.8,7.0,6.3,5.2,4.3,4.0,3.7,3.3,3.4,5.6461538461538465
MD,3.4,6.8,8.1,7.3,7.0,6.8,6.1,5.4,4.6,4.3,4.1,3.7,3.5,5.4692307692307685
ME,5.7,9.1,9.2,9.0,8.6,7.8,6.8,5.5,4.7,4.2,3.9,3.9,3.8,6.323076923076924
MI,7.6,13.3,14.1,11.0,9.4,9.0,8.3,6.0,5.4,4.8,4.6,4.6,4.2,7.869230769230769
MN,5.5,8.5,8.6,7.4,6.5,5.7,5.3,4.4,4.6,4.2,3.7,3.9,3.9,5.553846153846155
MO,5.8,9.3,10.2,9.2,7.6,7.0,7.2,5.8,4.9,4.2,3.7,3.7,4.5,6.392307692307693
MS,5.8,8.8,10.8,9.8,8.5,8.4,7.7,6.2,5.7,5.0,4.7,5.1,5.0,7.038461538461538
MT,5.3,7.9,8.4,8.1,7.0,6.3,5.7,4.8,4.9,4.6,4.4,4.2,4.1,5.823076923076924
NC,5.2,10.5,11.5,10.2,9.3,8.3,6.7,5.6,5.1,4.5,4.0,4.0,4.2,6.8538461538461535
ND,3.7,5.0,4.8,4.2,3.7,3.7,3.3,3.4,4.1,3.4,3.4,3.0,2.7,3.723076923076923
NE,3.3,4.7,5.2,4.8,4.3,4.0,3.9,3.1,3.2,3.0,3.1,3.4,4.3,3.869230769230769
NH,4.2,6.7,6.7,5.7,5.8,5.7,5.0,4.0,3.3,3.2,3.1,2.9,2.8,4.546153846153846
NJ,5.0,8.8,10.1,9.7,9.5,8.7,7.4,6.5,5.4,4.6,4.6,3.7,3.9,6.761538461538461
NM,4.0,7.3,8.2,7.3,7.1,6.7,6.8,6.4,6.4,6.0,4.7,4.8,5.9,6.276923076923077
NV,5.6,10.5,13.6,13.4,11.7,10.2,8.6,6.9,6.0,5.1,4.6,4.1,6.4,8.207692307692307
NY,5.2,8.2,9.1,8.2,8.9,8.0,7.1,5.6,5.1,4.7,4.6,4.2,4.4,6.407692307692309
OH,6.0,10.3,11.4,9.2,7.8,7.7,6.6,5.2,5.3,5.2,4.7,4.2,5.6,6.861538461538462
OK,3.3,6.0,7.0,5.8,5.1,5.1,4.8,4.2,4.7,4.3,3.7,3.2,2.8,4.615384615384616
OR,6.0,12.6,11.9,10.2,9.6,8.7,7.9,6.2,5.4,4.5,4.5,4.5,3.8,7.36923076923077
PA,5.1,8.2,9.2,8.0,7.9,7.7,6.5,5.5,5.6,5.1,4.5,4.3,6.0,6.43076923076923
RI,7.2,11.4,11.7,11.5,11.4,9.8,9.0,6.8,5.7,4.7,4.5,3.9,5.1,7.9
SC,5.4,10.9,11.5,10.3,9.3,7.7,6.1,6.1,5.3,4.1,3.5,3.4,3.0,6.661538461538462
SD,3.1,5.6,5.9,5.8,4.9,4.4,4.0,3.6,3.2,3.5,3.4,3.6,3.4,4.184615384615385
TN,5.9,10.9,10.6,9.5,7.9,8.0,6.9,5.9,4.7,4.1,3.6,3.5,3.7,6.553846153846153
TX,4.2,6.5,8.3,7.7,6.8,6.3,5.5,4.3,4.5,4.5,4.0,3.5,4.7,5.446153846153846
UT,3.4,7.3,8.4,7.5,6.0,5.0,4.2,3.8,3.8,3.5,3.3,3.0,3.8,4.846153846153846
VA,3.6,6.6,7.7,6.6,6.2,5.7,5.6,4.8,4.1,3.9,3.2,3.0,3.3,4.946153846153846
VT,5.1,7.6,7.0,6.2,5.5,4.9,4.5,4.0,3.6,3.4,3.0,2.7,3.4,4.684615384615385
WA,5.2,8.5,10.9,9.9,8.9,7.4,6.7,6.0,5.8,5.0,4.8,4.8,5.3,6.86153846153846
WI,5.2,9.3,10.3,8.8,7.9,7.5,6.6,5.3,4.8,3.9,3.6,3.8,3.5,6.1923076923076925
WV,5.0,7.7,9.3,8.9,7.8,7.4,7.5,7.6,6.9,5.6,6.0,5.2,6.1,6.999999999999999
