ZIPCODE,POPULATION
10001,151628
10002,68315
10003,189885
10004,218650
10005,208186
10006,214543
10007,367343
10009,95947
10010,188064
10011,207287
10012,169859
10013,259828
10014,203853
10016,166745
10017,174635
10018,154895
10019,162689
10020,1
10021,222872
10022,248983
10023,217812
10024,249579
10025,155781
10026,99903
10027,81961
10028,222550
10029,68078
10030,72377
10031,71698
10032,66845
10033,75872
10034,70567
10035,52121
10036,130731
10037,63900
10038,138542
10039,61621
10040,64100
10041,0
10043,0
10044,126465
10045,0
10047,0
10048,0
10055,0
10065,242978
10069,225183
10075,233358
10080,0
10081,0
10096,0
10097,0
10103,1
10104,0
10105,0
10106,0
10107,0
10110,1
10111,1
10112,1
10115,1
10118,0
10119,1
10120,0
10121,0
10122,0
10123,0
10128,196844
10151,0
10152,1
10153,1
10154,1
10155,0
10158,0
10162,244032
10165,1
10166,0
10167,1
10168,1
10169,1
10170,1
10171,1
10172,1
10173,1
10174,1
10175,0
10176,0
10177,1
10178,0
10196,0
10203,0
10259,0
10260,0
10265,0
10270,0
10271,1
10275,0
10278,1
10279,1
10280,224631
10281,0
10282,330244
10285,0
10286,0
10301,82103
10302,80141
10303,75828
10304,90003
10305,91033
10306,96939
10307,113474
10308,108491
10309,121733
10310,90754
10312,112310
10314,103927
10451,49434
10452,39896
10453,37719
10454,35479
10455,40090
10456,43257
10457,41485
10458,48427
10459,43297
10460,41120
10461,73335
10462,63952
10463,83674
10464,114025
10465,90281
10466,68430
10467,51062
10468,48780
10469,78921
10470,76959
10471,121901
10472,46699
10473,60660
10474,42633
10475,63502
11001,130947
11004,108778
11005,87343
11040,151193
11096,73073
11101,103022
11102,87613
11103,87030
11104,80842
11105,94627
11106,80566
11109,176615
11201,184989
11203,67925
11204,72448
11205,86795
11206,61423
11207,53854
11208,57398
11209,98949
11210,89162
11211,110045
11212,43099
11213,60525
11214,74409
11215,171776
11216,88367
11217,158932
11218,93120
11219,59532
11220,67304
11221,72291
11222,106860
11223,76767
11224,54541
11225,82001
11226,69166
11228,95616
11229,83189
11230,78385
11231,156754
11232,78443
11233,62884
11234,102731
11235,76248
11236,83059
11237,69731
11238,117496
11239,38283
11249,0
11251,0
11354,62603
11355,58478
11356,77889
11357,102577
11358,89248
11359,1
11360,106836
11361,101199
11362,105491
11363,131100
11364,98555
11365,85608
11366,102383
11367,77653
11368,63829
11369,70551
11370,91997
11371,1
11372,75127
11373,66968
11374,81747
11375,109167
11377,71990
11378,92128
11379,98870
11385,84423
11411,108615
11412,94871
11413,100730
11414,100462
11415,88979
11416,81027
11417,88365
11418,84897
11419,87311
11420,91191
11421,87680
11422,99628
11423,90438
11426,107612
11427,100414
11428,85921
11429,96463
11430,1
11432,79095
11433,69657
11434,76313
11435,79861
11436,93965
11451,1
11691,65467
11692,63908
11693,77799
11694,111206
11697,131013
