,ZIPCODE,PO_NAME,POPULATION,AREA_FT,AREA_MI,STATE,COUNTY,ST_FIPS,CTY_FIPS,AVG_INCOME
0,10001,New York,22413.0,17794940.77,0.64,NY,New York,36,61,151628
1,10002,New York,81305.0,26280128.54,0.94,NY,New York,36,61,68315
2,10003,New York,55878.0,15538376.27,0.56,NY,New York,36,61,189885
3,10004,New York,2187.0,13555552.34,0.49,NY,New York,36,61,218650
4,10005,New York,8107.0,2082901.14,0.07,NY,New York,36,61,208186
5,10006,New York,3011.0,1716640.92,0.06,NY,New York,36,61,214543
6,10007,New York,7323.0,5327870.98,0.19,NY,New York,36,61,367343
7,10009,New York,61455.0,15903519.3,0.57,NY,New York,36,61,95947
8,10010,New York,29881.0,9768395.57,0.35,NY,New York,36,61,188064
9,10011,New York,50594.0,18118416.85,0.65,NY,New York,36,61,207287
10,10012,New York,24276.0,9193739.0,0.33,NY,New York,36,61,169859
11,10013,New York,27985.0,15580578.83,0.56,NY,New York,36,61,259828
12,10014,New York,31328.0,14151052.03,0.51,NY,New York,36,61,203853
13,10016,New York,54606.0,15042403.04,0.54,NY,New York,36,61,166745
14,10017,New York,15918.0,9794383.24,0.35,NY,New York,36,61,174635
15,10018,New York,5503.0,10705796.48,0.38,NY,New York,36,61,154895
16,10019,New York,41966.0,18828383.12,0.68,NY,New York,36,61,162689
17,10020,New York,0.0,697297.02,0.03,NY,New York,36,61,1
18,10021,New York,45299.0,10495133.41,0.38,NY,New York,36,61,222872
19,10022,New York,33135.0,12728335.62,0.46,NY,New York,36,61,248983
20,10023,New York,62800.0,15212712.68,0.55,NY,New York,36,61,217812
21,10024,New York,58521.0,22877335.46,0.82,NY,New York,36,61,249579
22,10025,New York,96054.0,19631043.82,0.7,NY,New York,36,61,155781
23,10026,New York,34313.0,11092681.49,0.4,NY,New York,36,61,99903
24,10027,New York,58639.0,24695278.5,0.89,NY,New York,36,61,81961
25,10028,New York,47530.0,9842046.48,0.35,NY,New York,36,61,222550
26,10029,New York,77503.0,22963435.68,0.82,NY,New York,36,61,68078
27,10030,New York,26720.0,7757661.45,0.28,NY,New York,36,61,72377
28,10031,New York,57010.0,16902152.37,0.61,NY,New York,36,61,71698
29,10032,New York,57606.0,23159566.09,0.83,NY,New York,36,61,66845
30,10033,New York,54284.0,16156054.17,0.58,NY,New York,36,61,75872
31,10034,New York,39149.0,24503892.12,0.88,NY,New York,36,61,70567
32,10035,New York,34884.0,38940528.8,1.4,NY,New York,36,61,52121
33,10036,New York,23543.0,11395110.51,0.41,NY,New York,36,61,130731
34,10037,New York,16931.0,7188980.95,0.26,NY,New York,36,61,63900
35,10038,New York,19127.0,7022760.64,0.25,NY,New York,36,61,138542
36,10039,New York,24234.0,8419027.88,0.3,NY,New York,36,61,61621
37,10040,New York,41033.0,16340742.8,0.59,NY,New York,36,61,64100
38,10041,New York,0.0,162236.65,0.01,NY,New York,36,61,0
39,10043,New York,0.0,38262.36,0.0,NY,New York,36,61,0
40,10044,New York,11661.0,6296113.27,0.23,NY,New York,36,61,126465
41,10045,New York,0.0,47808.99,0.0,NY,New York,36,61,0
42,10047,New York,0.0,20299.56,0.0,NY,New York,36,61,0
43,10048,New York,0.0,972788.42,0.03,NY,New York,36,61,0
44,10055,New York,12.0,37223.54,0.0,NY,New York,36,61,0
45,10065,New York,33459.0,11442579.55,0.41,NY,New York,36,61,242978
46,10069,New York,5850.0,2372365.89,0.09,NY,New York,36,61,225183
47,10075,New York,25203.0,4809654.28,0.17,NY,New York,36,61,233358
48,10080,New York,0.0,77111.45,0.0,NY,New York,36,61,0
49,10081,New York,0.0,30240.51,0.0,NY,New York,36,61,0
50,10096,New York,0.0,42106.11,0.0,NY,New York,36,61,0
51,10097,New York,0.0,65826.18,0.0,NY,New York,36,61,0
52,10103,New York,0.0,62713.25,0.0,NY,New York,36,61,1
53,10104,New York,0.0,89721.85,0.0,NY,New York,36,61,0
54,10105,New York,0.0,35422.16,0.0,NY,New York,36,61,0
55,10106,New York,0.0,31052.55,0.0,NY,New York,36,61,0
56,10107,New York,0.0,23030.18,0.0,NY,New York,36,61,0
57,10110,New York,0.0,21249.06,0.0,NY,New York,36,61,1
58,10111,New York,0.0,103066.25,0.0,NY,New York,36,61,1
59,10112,New York,0.0,164078.17,0.01,NY,New York,36,61,1
60,10115,New York,0.0,71720.12,0.0,NY,New York,36,61,1
61,10118,New York,0.0,91733.72,0.0,NY,New York,36,61,0
62,10119,New York,0.0,126392.97,0.0,NY,New York,36,61,1
63,10120,New York,0.0,35179.27,0.0,NY,New York,36,61,0
64,10121,New York,0.0,115104.8,0.0,NY,New York,36,61,0
65,10122,New York,0.0,23294.64,0.0,NY,New York,36,61,0
66,10123,New York,0.0,16138.54,0.0,NY,New York,36,61,0
67,10128,New York,55748.0,11011681.56,0.39,NY,New York,36,61,196844
68,10151,New York,0.0,21380.27,0.0,NY,New York,36,61,0
69,10152,New York,0.0,59925.0,0.0,NY,New York,36,61,1
70,10153,New York,0.0,80339.65,0.0,NY,New York,36,61,1
71,10154,New York,0.0,79148.8,0.0,NY,New York,36,61,1
72,10155,New York,0.0,24784.69,0.0,NY,New York,36,61,0
73,10158,New York,0.0,35395.77,0.0,NY,New York,36,61,0
74,10162,New York,0.0,21034.89,0.0,NY,New York,36,61,244032
75,10165,New York,0.0,40779.82,0.0,NY,New York,36,61,1
76,10166,New York,0.0,110438.62,0.0,NY,New York,36,61,0
77,10167,New York,0.0,80926.19,0.0,NY,New York,36,61,1
78,10168,New York,0.0,27810.12,0.0,NY,New York,36,61,1
79,10169,New York,0.0,66246.35,0.0,NY,New York,36,61,1
80,10170,New York,0.0,61793.18,0.0,NY,New York,36,61,1
81,10171,New York,0.0,23525.09,0.0,NY,New York,36,61,1
82,10172,New York,0.0,79589.1,0.0,NY,New York,36,61,1
83,10173,New York,0.0,25689.42,0.0,NY,New York,36,61,1
84,10174,New York,0.0,44203.23,0.0,NY,New York,36,61,1
85,10175,New York,0.0,18685.39,0.0,NY,New York,36,61,0
86,10176,New York,0.0,18289.09,0.0,NY,New York,36,61,0
87,10177,New York,0.0,24688.05,0.0,NY,New York,36,61,1
88,10178,New York,0.0,51303.04,0.0,NY,New York,36,61,0
89,10196,New York,0.0,35657.27,0.0,NY,New York,36,61,0
90,10203,New York,0.0,37226.88,0.0,NY,New York,36,61,0
91,10259,New York,0.0,21064.31,0.0,NY,New York,36,61,0
92,10260,New York,0.0,52514.74,0.0,NY,New York,36,61,0
93,10265,New York,0.0,17229.15,0.0,NY,New York,36,61,0
94,10270,New York,0.0,31255.8,0.0,NY,New York,36,61,0
95,10271,New York,0.0,49236.88,0.0,NY,New York,36,61,1
96,10275,New York,0.0,48280.42,0.0,NY,New York,36,61,0
97,10278,New York,0.0,206706.0,0.01,NY,New York,36,61,1
98,10279,New York,0.0,28664.71,0.0,NY,New York,36,61,1
99,10280,New York,3170.0,2234114.01,0.08,NY,New York,36,61,224631
100,10281,New York,4017.0,955857.82,0.03,NY,New York,36,61,0
101,10282,New York,4139.0,1562844.99,0.06,NY,New York,36,61,330244
102,10285,New York,0.0,67350.39,0.0,NY,New York,36,61,0
103,10286,New York,0.0,11264.41,0.0,NY,New York,36,61,0
104,10301,Staten Island,40438.0,105182712.65,3.77,NY,Richmond,36,85,82103
105,10302,Staten Island,18123.0,29555323.02,1.06,NY,Richmond,36,85,80141
106,10303,Staten Island,27048.0,81629773.52,2.93,NY,Richmond,36,85,75828
107,10304,Staten Island,41502.0,98226679.8,3.52,NY,Richmond,36,85,90003
108,10305,Staten Island,41746.0,111441829.32,4.0,NY,Richmond,36,85,91033
109,10306,Staten Island,55602.0,174102872.05,6.25,NY,Richmond,36,85,96939
110,10307,Staten Island,14096.0,46028382.63,1.65,NY,Richmond,36,85,113474
111,10308,Staten Island,27612.0,62751041.82,2.25,NY,Richmond,36,85,108491
112,10309,Staten Island,33114.0,215835793.52,7.74,NY,Richmond,36,85,121733
113,10310,Staten Island,25003.0,53463275.0,1.92,NY,Richmond,36,85,90754
114,10312,Staten Island,58506.0,169087432.91,6.07,NY,Richmond,36,85,112310
115,10314,Staten Island,85430.0,473985727.13,17.0,NY,Richmond,36,85,103927
116,10451,Bronx,44140.0,28944106.52,1.04,NY,Bronx,36,5,49434
117,10452,Bronx,76104.0,27550385.85,0.99,NY,Bronx,36,5,39896
118,10453,Bronx,77576.0,25748509.27,0.92,NY,Bronx,36,5,37719
119,10454,Bronx,37466.0,31063613.33,1.11,NY,Bronx,36,5,35479
120,10455,Bronx,39834.0,19846918.84,0.71,NY,Bronx,36,5,40090
121,10456,Bronx,89390.0,29933452.44,1.07,NY,Bronx,36,5,43257
122,10457,Bronx,70253.0,37640607.38,1.35,NY,Bronx,36,5,41485
123,10458,Bronx,79362.0,35968812.9,1.29,NY,Bronx,36,5,48427
124,10459,Bronx,46804.0,22551940.54,0.81,NY,Bronx,36,5,43297
125,10460,Bronx,56670.0,35155666.65,1.26,NY,Bronx,36,5,41120
126,10461,Bronx,50549.0,62824057.57,2.25,NY,Bronx,36,5,73335
127,10462,Bronx,75674.0,53022513.78,1.9,NY,Bronx,36,5,63952
128,10463,Bronx,70641.0,39823083.42,1.43,NY,Bronx,36,5,83674
129,10464,Bronx,4438.0,92357969.3,3.31,NY,Bronx,36,5,114025
130,10465,Bronx,42012.0,108423743.44,3.89,NY,Bronx,36,5,90281
131,10466,Bronx,68942.0,55262490.61,1.98,NY,Bronx,36,5,68430
132,10467,Bronx,97932.0,69336166.37,2.49,NY,Bronx,36,5,51062
133,10468,Bronx,72877.0,34447604.67,1.24,NY,Bronx,36,5,48780
134,10469,Bronx,65101.0,68040887.07,2.44,NY,Bronx,36,5,78921
135,10470,Bronx,14740.0,21543461.58,0.77,NY,Bronx,36,5,76959
136,10471,Bronx,23477.0,89651407.06,3.22,NY,Bronx,36,5,121901
137,10472,Bronx,66356.0,30963245.19,1.11,NY,Bronx,36,5,46699
138,10473,Bronx,58284.0,59522354.54,2.14,NY,Bronx,36,5,60660
139,10474,Bronx,12281.0,40614090.19,1.46,NY,Bronx,36,5,42633
140,10475,Bronx,40931.0,38633296.93,1.39,NY,Bronx,36,5,63502
